Recipe,Image Link
Buffalo Chickpea Wraps,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/c4ba6965b84c420fa7759c72faeaea7f/HowToEatVeganOnABudgetFBFinalNEW.jpg?resize=300:*&output-format=auto&output-quality=auto
Avocado Chickpea Salad with Chili Lime Dressing,https://img.buzzfeed.com/video-api-prod/assets/f1a98013286948a88f541de5242a2462/01_Square.00_00_56_17.Still001.jpg?resize=300:*&output-format=auto&output-quality=auto
New England Clam Chowder,https://img.buzzfeed.com/video-api-prod/assets/97afa9665d6e44e785ce53fb38965c21/FB_2.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Tortilla Soup,no image
Gourmet Rib Eye Steak,no image
Tofu Stir Fry,no image
Chicken Enchilada-Stuffed Zucchini Boats,no image
Chicken Pot Pie Soup,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/e9434d185e11417fb2720293a5e0cd71/BFV330965SoupsToWarmYourSoulFBV2.jpg?resize=300:*&output-format=auto&output-quality=auto
Avocado Chicken Salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/1211.jpg?resize=300:*&output-format=auto&output-quality=auto
Shredded Chicken Tacos,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/4e0273811ace44bdb6d93afdcd0c3cab/BFV36769_InstantPotDinners-FB1080x1080.jpg?resize=300:*&output-format=auto&output-quality=auto
One-pan Chicken & Veggie Meal Prep,https://img.buzzfeed.com/video-api-prod/assets/a27db926525b4b2c9abd06b25606a4db/BFV15295_One-PanChickenVeggieMealPrep-ThumbTextless1080.jpg?resize=300:*&output-format=auto&output-quality=auto
Southwestern Salad With Avocado Dressing,https://img.buzzfeed.com/video-api-prod/assets/ba1be3152de7402fa6a51064b21c892d/BFV12014_SouthwesternSaladWithAvocadoDressing-ThumbTextless1080.jpg?resize=300:*&output-format=auto&output-quality=auto
Vegetarian Grain Bowl Meal Prep,https://img.buzzfeed.com/video-api-prod/assets/7baf11ef841f48a58d70fffae4ae57de/BFV19033_VegetarianGrainBowlMealPrep-ThumbTextless.jpg?resize=300:*&output-format=auto&output-quality=auto
Eggplant Parmesan Boats,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/124499.jpg?resize=300:*&output-format=auto&output-quality=auto
Easy Jambalaya,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/c4f772a4f9fe45fdb3ac54ca6bb4de90/BFV4107_Jambalaya_FB1080SQ.jpg?resize=300:*&output-format=auto&output-quality=auto
Freezer-Prep Protein Packed Chili,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/129477.jpg?resize=300:*&output-format=auto&output-quality=auto
French Fries 3 Ways,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/239250.jpg?resize=300:*&output-format=auto&output-quality=auto
Cauliflower Shrimp Fried Rice,https://img.buzzfeed.com/video-api-prod/assets/27f3b1b32760410a91e4b0bbf336bd9a/BFV15715_CauliflowerShrimpFriedRiceThumb.jpg?resize=300:*&output-format=auto&output-quality=auto
Tofu Lettuce Wraps with Mushrooms,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/153895.jpg?resize=300:*&output-format=auto&output-quality=auto
Healthy Mediterranean Salad,https://img.buzzfeed.com/video-api-prod/assets/34d63e685be84b9491d6496d54b3becf/BFV11741_HealthyMediterraneanSalad-ThumbTextless1080.jpg?resize=300:*&output-format=auto&output-quality=auto
Slow Cooker Chicken Fajita Bowls,no image
Chicken Tortilla Bowl Soup,no image
Roasted Cauliflower And Curry Soup,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/193607.jpg?resize=300:*&output-format=auto&output-quality=auto
Karaage Fried Chicken,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/5b2aa37781514ab68f18ae2a1ceb74e6/final3.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Katsu Tacos,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/226151.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Ranch Wrap,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/8606d7308ffe4cbebabf502ab9d7ddef/BFV21597_1RotisserieChicken4Lunches_FB1080SQ.jpg?resize=300:*&output-format=auto&output-quality=auto
Grilled Cheese Roll-ups,https://img.buzzfeed.com/video-api-prod/assets/89786c100092421496ad2c7bece1b955/BFV17320_GrilledCheeseDippersRollUps-thumbnail_fb.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Fajita Salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/dd212250a34447b3b3c658f80c155333/bfv8425_Chicken_Fajita_Salad-FB1080.jpg?resize=300:*&output-format=auto&output-quality=auto
Slow-Cooker Tuscan White Bean Soup,https://img.buzzfeed.com/video-api-prod/assets/4d3e0cfab9c2474b8ded34b3f7acdcd7/BFV12927_TuscanBeanSoup-ThumbTextless1080.jpg?resize=300:*&output-format=auto&output-quality=auto
One-pan Chicken Sausage & Veggies,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/118686bd64d14845b00adc446b4eaed4/BFV30877_WeekdayMealPrepFor4FB1080x1080.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Pot Pie by Wolfgang Puck,https://img.buzzfeed.com/video-api-prod/assets/4c08834d049843ddba31398a6ecb4803/BFV6892_ChickenPotPieMadeByWolfgangPuck-Thumb.jpg?resize=300:*&output-format=auto&output-quality=auto
Roasted Veggie Salad With Maple Balsamic Vinaigrette,https://img.buzzfeed.com/video-api-prod/assets/b76f75cdf9604d11911f669bc6f167d6/THUMB_1.jpg?resize=300:*&output-format=auto&output-quality=auto
How To Cook Filet Mignon,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/ac110e4b25e14c9ca6f60216013a61fa/Cut2.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Fajita Tacos,no image
Meatball Sub Boats,no image
Avocado And Tomato Salad,no image
Spinach And Artichoke Quesadillas,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/256775.jpg?resize=300:*&output-format=auto&output-quality=auto
Southwestern Taco Salad,https://img.buzzfeed.com/video-api-prod/assets/56b04e3dd03a4150ae4cb5e53b41e7aa/BFV5626_SouthwesternTacoSalad_FBthumb1080sq.jpg?resize=300:*&output-format=auto&output-quality=auto
